,value__sum_values,value__median,value__mean,value__length,value__standard_deviation,value__variance,value__root_mean_square,value__maximum,value__absolute_maximum,value__minimum,cluster
2022484408,50818.0,78.5,84.69666666666667,600.0,24.436816259261125,597.1579888888889,88.15147947330965,155.0,155.0,53.0,-1
2026352035,28877.0,63.0,65.77904328018224,439.0,5.530937465216948,30.591269244140484,66.01116423833341,80.0,80.0,57.0,-1
2347167796,40270.0,67.0,67.11666666666666,600.0,4.448938699909851,19.793055555555554,67.2639576593587,89.0,89.0,59.0,-1
4020332650,41919.0,70.0,69.865,600.0,2.3072584741781026,5.323441666666666,69.90308767620117,75.0,75.0,63.0,-1
4558609924,48976.0,82.0,81.62666666666667,600.0,7.051521506423671,49.72395555555556,81.93068208349462,102.0,102.0,61.0,-1
